bank_name,branch_name,location,review_text,rating,review_date
Attijariwafa Bank,Agence Attijari Wafa Banque,"X4GH+8XM, Rabat, Morocco","Personal banking,  great service, friendly people.",5,2018-04-20
Attijariwafa Bank,Agence Attijari Wafa Banque,"X4GH+8XM, Rabat, Morocco","The receptionist demonstrated a lack of professionalism, respect and courtesy. His dialogue was inappropriate and the service provided did not meet the expectations of an establishment of your stature.",1,2025-02-17
Attijariwafa Bank,Agence Attijari Wafa Banque,"X4GH+8XM, Rabat, Morocco",Nul three lent service incompetent equipment three decu,1,2024-05-06
Attijariwafa Bank,Agence Attijari Wafa Banque,"X4GH+8XM, Rabat, Morocco",None from none from none,1,2025-01-15
Attijariwafa Bank,Agence Attijari Wafa Banque,"X4GH+8XM, Rabat, Morocco",Poor service with an unprofessional team,1,2022-11-28
Attijariwafa Bank,Attijariwafa Bank,"X46P+H6G, Av. Al Arz, Rabat, Morocco",Top,4,2022-10-25
Attijariwafa Bank,Attijariwafa Bank,"X46P+H6G, Av. Al Arz, Rabat, Morocco","Terrible service, no one bothers to pick up the phone…. If you need information or remote service, it's dead!",1,2025-01-20
Attijariwafa Bank,Attijariwafa Bank,"X46P+H6G, Av. Al Arz, Rabat, Morocco","The worst agency of Attijari which leaves a bad reputation on the whole bank,
No communication, director who never takes care to respond to her customers.
How do I file a real complaint with this agency????",1,2024-05-23
Attijariwafa Bank,Attijariwafa Bank,"X46P+H6G, Av. Al Arz, Rabat, Morocco","The worst agency of my entire life, never answers the phone and hangs up on you
Every month someone resigns or falls ill, I plan to cover everything with them, catastrophic service",1,2024-01-10
Attijariwafa Bank,Attijariwafa Bank,"X46P+H6G, Av. Al Arz, Rabat, Morocco","I have been an RME customer for over 20 years. I was rather satisfied with the service before, but in recent times (a few months) the service has clearly deteriorated +++ almost no suitable welcome, nothing to do with Covid. There are a lot of pejorative terms that I am refraining from listing as a correction.
It is urgent to have before fleeing...",1,2022-08-18
Attijariwafa Bank,"Attijariwafa Bank, Agence Al Hadika, AïnSebaa.","JF38+CQ4, Casablanca 20250, Morocco","I have been waiting for 21 days for a transfer that has been blocked for no reason, and they are unable to unblock it. This isn't even the first time this has happened! Once again I find myself in a difficult situation because of their mismanagement. 21 days, and the problem (their problem, not mine) is still not resolved. Sorry, but Attijari is certainly not the first bank in Morocco.",1,2025-02-07
Attijariwafa Bank,"Attijariwafa Bank, Agence Al Hadika, AïnSebaa.","JF38+CQ4, Casablanca 20250, Morocco","No means of communication with this agency, no one answers the landline… you absolutely have to go there to deal with your needs!
What service! No good agency!!!!",1,2025-03-20
Attijariwafa Bank,"Attijariwafa Bank, Agence Al Hadika, AïnSebaa.","JF38+CQ4, Casablanca 20250, Morocco","Very good service with sympathy and efficiency, delighted to work with you. THANKS.",5,2024-11-16
Attijariwafa Bank,"Attijariwafa Bank, Agence Al Hadika, AïnSebaa.","JF38+CQ4, Casablanca 20250, Morocco","Good bank but the manager is poor and nervous, doesn't speak well",1,2022-01-07
Attijariwafa Bank,"Attijariwafa Bank, Agence Al Hadika, AïnSebaa.","JF38+CQ4, Casablanca 20250, Morocco",,5,2025-01-31
Attijariwafa Bank,"Attijariwafa Bank, Agence Grande Ceinture.","Bd de la Grande Ceinture, Casablanca 20250, Morocco","Worst agency, 0 communication, no one answers our calls",1,2024-05-31
Attijariwafa Bank,"Attijariwafa Bank, Agence Grande Ceinture.","Bd de la Grande Ceinture, Casablanca 20250, Morocco",Inappropriate and offensive photo for a Muslim country. I hope they’ll remove this soon.,1,2024-01-10
Attijariwafa Bank,"Attijariwafa Bank, Agence Grande Ceinture.","Bd de la Grande Ceinture, Casablanca 20250, Morocco",Good service,4,2017-09-10
Attijariwafa Bank,"Attijariwafa Bank, Agence Grande Ceinture.","Bd de la Grande Ceinture, Casablanca 20250, Morocco","It’s a lousy agency!!! We never get an answer on phone, we always have to travel!!! The staff has no respect for the customer, a long queue and he drinks his coffee strangely. If it had less than 1 star I would have marked it!!",1,2024-03-06
Attijariwafa Bank,"Attijariwafa Bank, Agence Grande Ceinture.","Bd de la Grande Ceinture, Casablanca 20250, Morocco","Zero star was intended for it, but unfortunately. Two days of communication from France, and no one can answer. God is sufficient for us, and He is the best disposer of affairs. Answering the phone is not at your service, this nonsense, all the expressions are not enough for me to express my regret for sharing with you.",1,2022-06-07
Attijariwafa Bank,Attijariwafa Bank,"G9R4+9WP, Bd de Fes, Casablanca, Morocco",Agence et GAB,4,2016-10-17
Attijariwafa Bank,Attijariwafa Bank,"G9R4+9WP, Bd de Fes, Casablanca, Morocco","It is the worst service I have ever seen in my life.
They are very arrogant and think they are above the law, I don't know why that is. It is absurd that they do not let you manage your money and block it when you need it and always with the excuse of the system. THEY ARE INCOMPETENT, MISEDUCED, ESPECIALLY THE MANAGERS. What a disgusting crowd",1,2022-08-01
Attijariwafa Bank,Attijariwafa Bank,"G9R4+9WP, Bd de Fes, Casablanca, Morocco","Very limited reception, numerous staff but reception and service to improve. It gives the impression that the staff don't really want to work.",1,2022-07-08
Attijariwafa Bank,Attijariwafa Bank,"G9R4+9WP, Bd de Fes, Casablanca, Morocco",Good service,3,2018-04-07
Attijariwafa Bank,Attijariwafa Bank,"G9R4+9WP, Bd de Fes, Casablanca, Morocco",The worst bank on the planet,1,2019-08-02
Attijariwafa Bank,Attijariwafa bank,"G9V5+QPW, N11, Casablanca, Morocco",They never answer,1,2021-12-17
Attijariwafa Bank,Attijariwafa bank,"G9V5+QPW, N11, Casablanca, Morocco","Siman aya ,",1,2018-02-21
Attijariwafa Bank,Attijariwafa bank,"G9V5+QPW, N11, Casablanca, Morocco",unreachable and very poor service!!!!!!,1,2025-04-02
Attijariwafa Bank,Attijariwafa bank,"G9V5+QPW, N11, Casablanca, Morocco","Horrible!!! counter broken, inability to withdraw on site, system broken and subscriber director absent waiting time one hour for a simple withdrawal",1,2019-11-04
Attijariwafa Bank,Attijariwafa bank,"G9V5+QPW, N11, Casablanca, Morocco","Agency not reachable by telephone!
Very disappointing especially during this period of confinement!",1,2020-05-05
Attijariwafa Bank,"Attijariwafabank, Agence Hay El Hanaa, Hay Hassani.","Bd Sidi Abderrahmane, Casablanca 20250, Morocco","Commercial Wafa Bank, Al-Hana district agency, on Sidi Abdel Rahman Street, opposite the Sidi Abdel Rahman tram station, near the Yasmine Pharmacy, the Popular Bank, and the Shell gas station, and also near the headquarters of the Regional Academy of Education and Training in the Casablanca-Settat region, and the Ibn Yasmine Rehabilitation Secondary School, in the territory of the Hassani district, in the greater city of Casablanca.",3,2023-01-25
Attijariwafa Bank,"Attijariwafabank, Agence Hay El Hanaa, Hay Hassani.","Bd Sidi Abderrahmane, Casablanca 20250, Morocco",,1,2025-01-02
