bank_name,location,concatenated_text,review_count,avg_rating,detected_language,sentiment,sentiment_score
Al Barid Bank,"187 Bd Abdelmoumen, Casablanca 20250, Morocco",i finished rapid chess games min each waiting for the employee to just come to his office so he can start working with the guys i found there before me do not recommend the worst service and experience i ever had with any bank i advise anyone who want to do any banking to stay away from it the worst service and experience i ever had with any bank i advise anyone who want to do any banking to stay away from it bad i finished rapid chess games min each waiting for the employee to just come to his office so he can start working with the guys i found there before me do not recommend honestly anyone whos thinking about opening an account with this bank will suffer a lot they have the worst people working with them they dont even smile at you welcome old fashioned bank when you call to get information or help all youre facing is frowned persons their service is really the worst even when treating your tickets you just keep coming back with their slow rate ive been client for almost years but this is it im totally switching to another bank al barik bank is the worst bank in morocco shame on you bad brac bank is very very nice brac bank is very very nice honestly anyone whos thinking about opening an account with this bank will suffer a lot they have the worst people working with them they dont even smile at you welcome old fashioned bank when you call to get information or help all youre facing is frowned persons their service is really the worst even when treating your tickets you just keep coming back with their slow rate ive been client for almost years but this is it im totally switching to another bank al barik bank is the worst bank in morocco shame on you,10,1.8,en,Negative,-0.15857142857142856
Al Barid Bank,"20400 Quartier:, 38 Bd Nassiba Bent Kaâb, Casablanca 20100, Morocco",greetings after receiving a group of packages i paid the postman sums of money for each package i received but i was surprised that i was not given an invoice or any document proving the amounts paid even though i requested that from the employee in charge as you know submitting the invoice is a right guaranteed to me as a consumer under law no related to consumer protection which stipulates in its article that it is mandatory to submit an invoice or document proving the process of performance or service this caused an escalation in communication on the part of your employee and he began to procrastinate and refuse to deliver my packages packages in collusion with his direct boss therefore i ask you to intervene to correct this situation and enable me to receive invoices for the amounts paid and my packages that the postman refused to deliver to me pending your response i hope you take the necessary measures to avoid a recurrence of such an incident in the future please accept the utmost respect and appreciation wa la service zzbala bad service bad delivery people no one answers the phone in the agency delivery people who do not care about the interests of customers employees are assigned to reintegration and training we do not have customer service training one of the worst banking agencies in the world employees who do not care about the interests of customers most of whom are elderly they are deliberately slow and provocative we must intervene to prevent this laziness and disappointment from shinoa to this agency the order arrived fine and when i checked it in the applications it showed problems glory be to god other than entering this agency i have an unknown house km alfran to aqaba there is no factora no factor no serbis meziane and there is no significant difference compared to spdaf,5,1.0,en,Negative,-0.13588935574229688
Al Barid Bank,"22G7+R3Q, Rue Boujdour, Fès 30000, Morocco",nan nan in all honesty and with all love i have never in my life seen a solution to my problem that i caused in my bank account mrs safaa chef dagence mrs souad even the person responsible for security they all helped me with so much love and dedication that i couldnt thank them enough i wished inside myself that all the employees were as good as her a message of thanks but i am very proud of you you played the role of management and i raise my hat nan nan in all honesty and with all love i have never in my life seen a solution to my problem that i caused in my bank account mrs safaa chef dagence mrs souad even the person responsible for security they all helped me with so much love and dedication that i couldnt thank them enough i wished inside myself that all the employees were as good as her a message of thanks but i am very proud of you you played the role of management and i raise my hat nan good nan good,10,3.6,en,Positive,0.4750000000000001
Al Barid Bank,"22R2+F4V, Ave Lalla Meryem, Fes 30050, Morocco",the worst service ever bad service very bad service and some employees dont know how to do their tasks and you have to wait hours for minute service the worst bank ever really unacceptable service i advise people to avoid all al barid bank branches the worst service ever really unacceptable service i advise people to avoid all al barid bank branches very bad service and some employees dont know how to do their tasks and you have to wait hours for minute service the worst bank ever bad service,10,1.0,en,Negative,-0.6819999999999999
Al Barid Bank,"2572+68F, N1, Rabat, Morocco",helpful and friendly staff bank charges are affordable and reasonable and of course the bbm application facilitates the necessary daily operations without traveling transfers money orders and others very bad experience with barid bank terrible service lack of staff long waiting hours nice helpful and friendly staff bank charges are affordable and reasonable and of course the bbm application facilitates the necessary daily operations without traveling transfers money orders and others nice helpful and friendly staff bank charges are affordable and reasonable and of course the bbm application facilitates the necessary daily operations without traveling transfers money orders and others nice terrible service lack of staff long waiting hours very bad experience with barid bank worst customer service i had ever experienced specially from front office to get my boxes ofc she dont know how to confirm it on the system and the shame thing that the security guy dont respect the waiting list so one guy came after me and he served quickly because they know each others i dont know why we are in and the moroccan offices stil the same worst customer service i had ever experienced specially from front office to get my boxes ofc she dont know how to confirm it on the system and the shame thing that the security guy dont respect the waiting list so one guy came after me and he served quickly because they know each others i dont know why we are in and the moroccan offices stil the same terrible service lack of staff long waiting hours terrible service lack of staff long waiting hours very bad experience with barid bank helpful and friendly staff bank charges are affordable and reasonable and of course the bbm application facilitates the necessary daily operations without traveling transfers money orders and others worst customer service i had ever experienced specially from front office to get my boxes ofc she dont know how to confirm it on the system and the shame thing that the security guy dont respect the waiting list so one guy came after me and he served quickly because they know each others i dont know why we are in and the moroccan offices stil the same very bad experience with barid bank nice worst customer service i had ever experienced specially from front office to get my boxes ofc she dont know how to confirm it on the system and the shame thing that the security guy dont respect the waiting list so one guy came after me and he served quickly because they know each others i dont know why we are in and the moroccan offices stil the same,20,2.6,en,Neutral,-0.022655677655677657
Al Barid Bank,292H+QP9، Avenu la liberté، سطات‎، Morocco,well appointed just the service is a little slow service too long you have to organize yourself to improve it professional can be welcoming morocco post office building and its post office branch bank and secretariat in the city of settat a building distinguished by its architecture inspired by the authentic moroccan spirit and directly overlooking the city center known as oud it was renovated and rehabilitated in the early nineties to carry out its new tasks as a vital facility good morning average service see need for staff and smile dirty in some places lots of mess many people lack organization the main post office is in the heart of settat,5,3.6,en,Neutral,0.06709001782531193
Al Barid Bank,"2XM4+PG6, Unnamed Road, Fès, Morocco",service,1,5.0,en,Neutral,0.0
Al Barid Bank,"3 Av. Al Madariss, Inezgane 80000, Morocco",the staff here are far from professional rude dismissive and clearly lack basic customer service skills definitely not worth a visit,1,1.0,en,Neutral,-0.024999999999999994
Al Barid Bank,"329M+FVM Sidi Boujida, Fès, Morocco",they are not available at the bank i waited minutes no professionalism lack of respect,1,1.0,en,Negative,-0.2
Al Barid Bank,"40000,، Marrakech 40000, Morocco",horrible service irrespectful employers after the machines not giving me the money and charging it on my account they have not given me back my money this is the worst bank i have been in atm is not working i wasnt ablr to type my pin i was afraid will my card even come out because nor the screen nor the numbers arent working always unavailable atm is out order most of the time very bad customer service starting with the security agent who wont let you enter under the words of the system is not working the customer service was subpar starting with the security personnel who responded in a condescending manner to a simple query about the availability of my new bank card and after enduring a threehour fake wait i approached another staff member unfortunately her second response offered no helpful information regarding the availability of my card this lack of attention to customer concerns is disheartening waiting for three hours only to receive an uninformative reply is unacceptable,5,1.0,en,Negative,-0.2766883116883117
